Hypo-dense region intensity (minimum),Hyper-dense region intensity (maximum),Total signal energy in the tumor,Tissue heterogeneity (entropy),Interquartile intensity range,Tissue uniformity (kurtosis),Average tissue density,Median tissue density,Density variance,Edge sharpness (contrast),Tissue texture correlation,Small uniform tissue regions,Tumor texture complexity,"Tumor classification (e.g., pituitary tumor)"
9.0,94.0,268292.0,2.1473837093075816,29.5,2.620955329895057,58.45161290322581,60.0,910.6992715920916,0.6934523809523809,0.7381813782423537,0.7497035907859079,0.173653715064758,pituitary_tumor
20.8,111.8,265049.0,2.2534905225132977,32.0,3.1543334778898395,57.016666666666666,48.5,1166.583055555555,1.902777777777778,0.5106544161973452,0.7848800505050505,0.8539644012944986,pituitary_tumor
13.0,95.8,326019.0,2.129386453088716,50.0,1.892589150112788,62.25373134328358,70.0,990.4281577188682,0.8901098901098903,0.7420017684051486,0.809683625223139,0.468905472636816,pituitary_tumor
40.8,103.8,332885.0,2.2012576881590538,31.0,3.004866192776751,67.27692307692308,65.0,595.1233136094676,0.6583333333333334,0.6723769651401229,0.80125,0.2138830162085976,pituitary_tumor
38.2,88.0,344169.0,1.8998254204052607,31.0,2.669390436833099,63.5974025974026,64.0,425.0976555911621,0.5049603174603174,0.6535084412345784,0.7859195402298851,0.4459815546772068,pituitary_tumor
48.8,96.2,394441.0,1.56411857836684,32.0,2.918412827441785,72.73913043478261,76.0,425.5551354757404,0.403030303030303,0.587736886434888,0.6930169753086419,0.2466085271317829,pituitary_tumor
9.0,107.8,489799.0,2.350923579402939,71.0,1.9504482336984603,60.69892473118279,68.0,1582.2964504567003,1.1995421245421247,0.785753913256835,0.8177611940298507,0.8130040322580647,pituitary_tumor
11.0,88.0,278609.0,2.2531830040159706,56.0,2.2665149095570625,49.66666666666666,49.0,972.8395061728396,1.1707070707070706,0.5936883239487442,0.7763409961685824,0.7386058981233244,pituitary_tumor
37.6,113.0,382463.0,2.284342021241915,37.5,3.9488538912999065,67.59701492537313,55.0,1139.0465582535085,2.183493589743589,0.4127715600763188,0.8497117400419287,0.5915880503144655,pituitary_tumor
57.8,97.0,432181.0,1.5354264560862494,16.0,4.4215710566228505,77.46376811594203,77.0,262.85738290275145,0.7967532467532467,0.2853423648586318,0.8256172839506173,0.4662162162162163,pituitary_tumor
28.200000000000003,85.0,397057.0,1.859437990872644,23.75,3.1250536913170666,62.65555555555556,68.0,486.025802469136,0.6587912087912088,0.6018549868406265,0.7673055555555556,0.5402607361963191,pituitary_tumor
30.3,97.7,704733.0,1.8806129689608837,30.0,2.988982603104372,74.13157894736842,85.0,686.3774238227146,0.236111111111111,0.8811007171638496,0.7531888888888888,0.2012933857236411,pituitary_tumor
23.0,74.0,112713.0,1.648062650983921,30.5,2.62782664088856,44.48936170212766,40.0,418.8456315074693,0.8652777777777777,0.1757816612274974,0.7912091503267974,0.8365384615384615,pituitary_tumor
43.0,114.20000000000002,980492.0,2.2609955729132656,33.5,3.4809697687996306,80.05925925925926,82.0,853.4187105624144,0.9515904407881792,0.6321407000358533,0.8361881857119952,0.4560596446700508,pituitary_tumor
45.400000000000006,99.6,857081.0,2.042191380391978,31.25,4.010291298548997,77.1640625,75.0,741.6527709960938,0.7066572681704261,0.5725374076078789,0.7955152431342908,0.3786848072562358,pituitary_tumor
35.6,91.4,781421.0,1.8723803613203776,27.0,3.1185400787324484,67.19108280254777,71.0,462.56221347722015,0.5498530564263323,0.6209840707957238,0.7663561753902663,0.5483584274362192,pituitary_tumor
40.0,83.6,752686.0,1.7939752970576448,22.5,3.507054065546294,66.96774193548387,72.0,371.3602497398544,0.6204312865497076,0.5652076215162609,0.8373983739837398,1.0306552474170745,pituitary_tumor
9.8,67.20000000000002,337315.0,1.924702146262612,38.5,6.368900228730212,48.55555555555556,55.0,1049.58024691358,0.8630514705882353,0.8366754658932253,0.6931931453136811,0.1680436337625178,pituitary_tumor
11.0,70.4,304258.0,1.9849007408635195,35.25,3.7571533064065528,42.564516129032256,38.5,641.9555150884494,0.6261278195488721,0.7320196983887237,0.7897678957946815,0.6977363515312915,pituitary_tumor
9.0,62.0,249861.0,1.7821219660721626,28.75,4.055140203467481,38.92857142857143,41.0,467.5901360544218,0.2842261904761904,0.7768450621098646,0.7238449179773381,0.9062500000000002,pituitary_tumor
7.0,83.0,269362.0,2.054025079504941,50.0,2.9545702070710087,45.72413793103448,50.0,1005.4181529924696,0.9186126373626374,0.5942072617165802,0.8393096982382697,0.7641509433962262,pituitary_tumor
12.0,107.8,666530.0,2.3955295412667272,36.5,3.2814205167835517,70.95327102803738,74.0,1194.885666870469,0.7140734265734265,0.6557298103340856,0.8014756944444444,0.2879969418960244,pituitary_tumor
15.1,94.9,347301.0,2.158488293579215,33.5,2.6318847347841903,58.64634146341464,62.0,795.9846817370612,0.5374809014514896,0.7509790818099984,0.764643605870021,0.4967266775777414,pituitary_tumor
24.0,119.60000000000002,513045.0,2.4846180429630995,52.5,2.7328012888452644,65.16304347826087,60.5,1330.3538516068052,0.8889204545454545,0.7110512354068836,0.8442410015649452,0.6078947368421052,pituitary_tumor
15.0,81.0,433670.0,1.9418781119577293,35.75,2.420228388987604,55.08474576271186,61.0,640.8402757828209,0.7138728728168383,0.6890615001179398,0.7882566813351938,0.7437673130193906,pituitary_tumor
9.2,72.6,218173.0,1.83287537715169,42.0,2.05575963492303,41.53763440860215,46.0,620.5711642964505,1.01886655011655,0.5011151136156867,0.7484696969696971,1.7925170068027214,pituitary_tumor
12.0,89.20000000000002,310964.0,2.114056286937583,52.75,1.9837333096200576,50.333333333333336,53.0,921.7111111111112,0.5295138888888888,0.8095211138755533,0.807684286829486,0.4164598108747045,pituitary_tumor
23.2,69.0,165326.0,1.633180536989211,24.5,2.740502809019496,47.61904761904762,50.0,356.6485260770976,0.3854166666666667,0.617627092981835,0.7493958333333333,0.6738929889298894,pituitary_tumor
52.2,96.0,838410.0,1.6666956470321694,26.5,3.83822039080224,74.05594405594405,74.0,378.72414298987735,0.5501610305958132,0.5113823221274547,0.7801617010969238,0.8309754521963825,pituitary_tumor
38.0,202.8,1752060.0,3.0334298173601,82.0,2.290453237279759,103.82113821138212,86.0,3465.5615043955318,2.181372549019608,0.8268997521978364,0.8372235641438541,0.2847457627118644,pituitary_tumor
35.8,128.20000000000002,1018820.0,2.553241064616488,36.75,3.094103763429584,80.43076923076923,78.0,1367.9682840236687,1.009532666821669,0.7644584822734442,0.8562981298129811,0.3688190808609656,pituitary_tumor
61.0,135.8,1917093.0,2.1076292910426773,25.0,4.721607204977543,94.69948186528498,89.0,965.1324867781686,0.7334457478005865,0.8103871929210692,0.822877915451895,0.4857801691006917,pituitary_tumor
26.8,103.3,566794.0,1.8994735750174283,24.75,3.4625124002505534,80.56410256410257,92.0,776.0151216305063,0.7078839869281046,0.7462061136142767,0.8292135141093475,0.267169728783902,pituitary_tumor
25.0,121.20000000000007,183335.0,1.906942704692046,39.0,3.9402487234692423,52.906976744186046,31.0,1464.4564629529475,0.8625,0.8205667251623477,0.8310185185185185,0.1534090909090908,pituitary_tumor
